Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;Ratio
ForSumCacheArray;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;361.4 ms;NA;1.00
ForSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;449.4 ms;NA;1.24
ForEachSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;381.7 ms;NA;1.06
LinqAggregateSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"3,704.7 ms";NA;10.25
LinqSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"4,270.7 ms";NA;11.82
LinqAll;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"4,575.5 ms";NA;12.66
LinqAny;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"4,114.8 ms";NA;11.39
