Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;Ratio
ForSumCache;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;439.3 ms;NA;1.00
ForSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;723.3 ms;NA;1.65
ForEachSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"2,763.4 ms";NA;6.29
LinqAggregateSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"5,733.2 ms";NA;13.05
LinqSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"6,674.1 ms";NA;15.19
LinqAll;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"6,492.7 ms";NA;14.78
LinqAny;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;"6,460.8 ms";NA;14.71
