Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;Ratio
ForSumCacheArray;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;3.702 s;NA;1.00
ForSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;3.722 s;NA;1.01
ForEachSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;2.730 s;NA;0.74
LinqAggregateSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;3.526 s;NA;0.95
LinqSum;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;4.332 s;NA;1.17
LinqAll;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;4.245 s;NA;1.15
FastLinqAll;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;4.249 s;NA;1.15
LinqAny;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;4.261 s;NA;1.15
FastLinqAny;ID;False;Default;Default;Default;1;Default;Default;111111111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;True;Default;Default;Default;Default;Default;Default;Default;Default;1;1;Default;1;2;2;1;1;Default;1;1;4.259 s;NA;1.15
